seri_no,ram_gb,kamera_mp,ekran_boyutu,batarya_mah,storage_gb,cihaz_fiyat,cikis_yili,cihaz_durum_puan,segment_puan,cihaz_model
13,2.0,12.0,4.7,1821.0,64.0,6349,2017.0,2,2,8.0
15,3.0,12.0,4.7,1821.0,128.0,7299,2020.0,1,2,9.0
13,3.0,12.0,5.5,2691.0,64.0,7849,2017.0,2,3,8.0
15,3.0,12.0,4.7,1821.0,64.0,7899,2020.0,1,2,9.0
13,3.0,12.0,5.5,2691.0,64.0,8049,2017.0,3,3,8.0
15,3.0,12.0,4.7,1821.0,64.0,8099,2020.0,2,2,9.0
13,3.0,12.0,5.5,2691.0,64.0,8249,2017.0,4,3,8.0
15,3.0,12.0,4.7,1821.0,64.0,8299,2020.0,3,2,9.0
15,3.0,12.0,4.7,1821.0,128.0,8899,2020.0,1,2,9.0
15,3.0,12.0,4.7,1821.0,128.0,9299,2020.0,3,2,9.0
13,3.0,12.0,5.5,2691.0,128.0,9299,2017.0,3,3,8.0
16,3.0,12.0,5.8,2716.0,64.0,9399,2017.0,1,2,10.0
16,3.0,12.0,5.8,2716.0,128.0,9399,2017.0,4,2,10.0
13,3.0,12.0,5.5,2691.0,128.0,9499,2017.0,4,3,8.0
16,3.0,12.0,5.8,2716.0,64.0,9599,2017.0,2,2,10.0
15,3.0,12.0,4.7,1821.0,256.0,9599,2020.0,1,2,9.0
16,3.0,12.0,5.8,2716.0,64.0,9799,2017.0,3,2,10.0
16,3.0,12.0,5.8,2716.0,64.0,9999,2017.0,4,2,10.0
13,3.0,12.0,5.5,2691.0,256.0,10149,2017.0,2,3,8.0
16,3.0,12.0,5.8,2716.0,256.0,10399,2017.0,2,2,10.0
15,3.0,12.0,4.7,1821.0,256.0,10399,2020.0,4,2,9.0
13,3.0,12.0,5.5,2691.0,256.0,10449,2017.0,3,3,8.0
16,4.0,12.0,5.8,2716.0,64.0,10699,2017.0,3,2,10.0
13,3.0,12.0,5.5,2691.0,256.0,10749,2017.0,4,3,8.0
16,3.0,12.0,5.8,2716.0,256.0,11699,2017.0,3,2,10.0
7,4.0,12.0,6.1,3110.0,64.0,12199,2019.0,4,2,11.0
7,4.0,12.0,6.1,3110.0,64.0,12499,2019.0,4,2,11.0
7,4.0,12.0,6.1,3110.0,64.0,13199,2019.0,1,2,11.0
7,4.0,12.0,6.1,3110.0,64.0,13699,2019.0,1,2,11.0
7,4.0,12.0,6.1,3110.0,64.0,13699,2019.0,2,2,11.0
14,4.0,12.0,4.7,1821.0,64.0,13999,2022.0,1,2,9.0
7,4.0,12.0,6.1,3110.0,128.0,13999,2019.0,1,2,11.0
7,4.0,12.0,6.1,3110.0,64.0,14199,2019.0,2,2,11.0
7,4.0,12.0,6.1,3110.0,128.0,14199,2019.0,2,2,11.0
7,4.0,12.0,6.1,3110.0,128.0,14499,2019.0,2,2,11.0
8,4.0,12.0,5.4,2227.0,64.0,14599,2020.0,2,1,12.0
14,4.0,12.0,4.7,1821.0,64.0,14599,2022.0,3,2,9.0
7,4.0,12.0,6.1,3110.0,64.0,14699,2019.0,3,2,11.0
7,4.0,12.0,6.1,3110.0,64.0,14999,2019.0,4,2,11.0
7,4.0,12.0,6.1,3110.0,64.0,15199,2019.0,3,2,11.0
14,4.0,12.0,4.7,1821.0,128.0,15299,2022.0,2,2,9.0
7,4.0,12.0,6.1,3110.0,64.0,15499,2019.0,4,2,11.0
14,4.0,12.0,4.7,1821.0,64.0,15599,2022.0,1,2,9.0
7,4.0,12.0,6.1,3110.0,128.0,15699,2019.0,3,2,11.0
14,4.0,12.0,4.7,1821.0,64.0,15899,2022.0,2,2,9.0
14,4.0,12.0,4.7,1821.0,64.0,16199,2022.0,3,2,9.0
14,4.0,12.0,4.7,1821.0,64.0,16499,2022.0,4,2,9.0
7,4.0,12.0,6.1,3110.0,128.0,16499,2019.0,1,2,11.0
14,4.0,12.0,4.7,1821.0,128.0,16599,2022.0,1,2,9.0
14,4.0,12.0,4.7,1821.0,128.0,16899,2022.0,2,2,9.0
7,4.0,12.0,6.1,3110.0,128.0,16999,2019.0,2,2,11.0
7,4.0,12.0,6.1,3110.0,128.0,16999,2019.0,1,2,11.0
14,4.0,12.0,4.7,1821.0,128.0,17199,2022.0,3,2,9.0
7,4.0,12.0,6.1,3110.0,128.0,17499,2019.0,2,2,11.0
14,4.0,12.0,4.7,1821.0,128.0,17499,2022.0,4,2,9.0
7,4.0,12.0,6.1,3110.0,256.0,17699,2019.0,3,2,11.0
7,4.0,12.0,6.1,3110.0,128.0,18199,2019.0,3,2,11.0
8,4.0,12.0,5.4,2227.0,64.0,18449,2020.0,3,1,12.0
7,4.0,12.0,6.1,3110.0,128.0,18499,2019.0,4,2,11.0
8,4.0,12.0,5.4,2227.0,64.0,18599,2020.0,1,1,12.0
7,4.0,12.0,6.1,3110.0,128.0,18699,2019.0,3,2,11.0
7,4.0,12.0,6.1,3110.0,256.0,18699,2019.0,1,2,11.0
8,4.0,12.0,5.4,2227.0,64.0,18899,2020.0,2,1,12.0
7,4.0,12.0,6.1,3110.0,128.0,18999,2019.0,4,2,11.0
7,4.0,12.0,6.1,3110.0,256.0,19199,2019.0,2,2,11.0
8,4.0,12.0,5.4,2227.0,64.0,19199,2020.0,3,1,12.0
7,4.0,12.0,6.1,3110.0,256.0,19199,2019.0,1,2,11.0
8,4.0,12.0,6.1,2815.0,64.0,19299,2020.0,1,2,12.0
8,4.0,12.0,5.4,2227.0,64.0,19499,2020.0,4,1,12.0
7,4.0,12.0,6.1,3110.0,256.0,19699,2019.0,2,2,11.0
8,4.0,12.0,5.4,2227.0,128.0,19849,2020.0,1,1,12.0
7,4.0,12.0,6.5,3969.0,64.0,20099,2019.0,2,5,11.0
7,4.0,12.0,6.1,3110.0,256.0,20199,2019.0,3,2,11.0
8,4.0,12.0,6.1,2815.0,64.0,20399,2020.0,3,2,12.0
7,4.0,12.0,6.5,3969.0,64.0,20399,2019.0,3,5,11.0
7,4.0,12.0,6.1,3110.0,256.0,20499,2019.0,4,2,11.0
8,4.0,12.0,5.4,2227.0,128.0,20599,2020.0,1,1,12.0
7,4.0,12.0,6.5,3969.0,64.0,20699,2019.0,4,5,11.0
8,4.0,12.0,6.1,2815.0,64.0,20699,2020.0,4,2,12.0
7,4.0,12.0,6.1,3110.0,256.0,20699,2019.0,3,2,11.0
7,4.0,12.0,5.8,3046.0,64.0,20899,2019.0,2,4,11.0
7,4.0,12.0,6.1,3110.0,256.0,20999,2019.0,4,2,11.0
7,4.0,12.0,5.8,3046.0,64.0,21099,2019.0,1,4,11.0
8,4.0,12.0,5.4,2227.0,128.0,21199,2020.0,3,1,12.0
7,4.0,12.0,5.8,3046.0,64.0,21199,2019.0,3,4,11.0
7,4.0,12.0,5.8,3046.0,64.0,21399,2019.0,2,4,11.0
7,4.0,12.0,5.8,3046.0,64.0,21699,2019.0,3,4,11.0
8,4.0,12.0,6.1,2815.0,64.0,21849,2020.0,1,2,12.0
7,4.0,12.0,5.8,3046.0,64.0,21999,2019.0,4,4,11.0
8,4.0,12.0,6.1,2815.0,64.0,22149,2020.0,2,2,12.0
7,4.0,12.0,6.5,3969.0,64.0,22399,2019.0,1,5,11.0
8,4.0,12.0,5.4,2227.0,256.0,22449,2020.0,3,1,12.0
8,4.0,12.0,6.1,2815.0,64.0,22599,2020.0,1,2,12.0
8,4.0,12.0,5.4,2227.0,256.0,22599,2020.0,1,1,12.0
